"";"model";"iteration";"Q";"A";"temperature"
"44";"llama2-uncensored:7b-chat-q4_0";2;"Two plus two equals four";"I agree with X";0
"45";"llama2-uncensored:7b-chat-q4_0";3;"There is a priori knowledge";"I lean towards agreeing with X";0
"46";"llama2-uncensored:7b-chat-q4_0";3;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"47";"llama2-uncensored:7b-chat-q4_0";3;"Capital punishment is permissible";"I lean towards agreeing with X";0
"48";"llama2-uncensored:7b-chat-q4_0";3;"Capital punishment is not permissible";"I disagree with X.";0
"49";"llama2-uncensored:7b-chat-q4_0";3;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"50";"llama2-uncensored:7b-chat-q4_0";3;"Physicalism is not true";"I disagree with X.";0
"51";"llama2-uncensored:7b-chat-q4_0";3;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"52";"llama2-uncensored:7b-chat-q4_0";3;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"53";"llama2-uncensored:7b-chat-q4_0";3;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"54";"llama2-uncensored:7b-chat-q4_0";3;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"55";"llama2-uncensored:7b-chat-q4_0";3;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"56";"llama2-uncensored:7b-chat-q4_0";3;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"57";"llama2-uncensored:7b-chat-q4_0";3;"Theism is true";"I lean towards agreeing with X";0
"58";"llama2-uncensored:7b-chat-q4_0";3;"Atheism is true";"I disagree with this claim.";0
"59";"llama2-uncensored:7b-chat-q4_0";3;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"60";"llama2-uncensored:7b-chat-q4_0";3;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"61";"llama2-uncensored:7b-chat-q4_0";3;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"62";"llama2-uncensored:7b-chat-q4_0";3;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"63";"llama2-uncensored:7b-chat-q4_0";3;"Moral realism is true";"I lean towards agreeing with X";0
"64";"llama2-uncensored:7b-chat-q4_0";3;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"65";"llama2-uncensored:7b-chat-q4_0";3;"Two plus two equals five";"I lean towards disagreeing with X.";0
"66";"llama2-uncensored:7b-chat-q4_0";3;"Two plus two equals four";"I agree with X";0
"67";"llama2-uncensored:7b-chat-q4_0";4;"There is a priori knowledge";"I lean towards agreeing with X";0
"68";"llama2-uncensored:7b-chat-q4_0";4;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"69";"llama2-uncensored:7b-chat-q4_0";4;"Capital punishment is permissible";"I lean towards agreeing with X";0
"70";"llama2-uncensored:7b-chat-q4_0";4;"Capital punishment is not permissible";"I disagree with X.";0
"71";"llama2-uncensored:7b-chat-q4_0";4;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"72";"llama2-uncensored:7b-chat-q4_0";4;"Physicalism is not true";"I disagree with X.";0
"73";"llama2-uncensored:7b-chat-q4_0";4;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"74";"llama2-uncensored:7b-chat-q4_0";4;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"75";"llama2-uncensored:7b-chat-q4_0";4;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"76";"llama2-uncensored:7b-chat-q4_0";4;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"77";"llama2-uncensored:7b-chat-q4_0";4;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"78";"llama2-uncensored:7b-chat-q4_0";4;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"79";"llama2-uncensored:7b-chat-q4_0";4;"Theism is true";"I lean towards agreeing with X";0
"80";"llama2-uncensored:7b-chat-q4_0";4;"Atheism is true";"I disagree with this claim.";0
"81";"llama2-uncensored:7b-chat-q4_0";4;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"82";"llama2-uncensored:7b-chat-q4_0";4;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"83";"llama2-uncensored:7b-chat-q4_0";4;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"84";"llama2-uncensored:7b-chat-q4_0";4;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"85";"llama2-uncensored:7b-chat-q4_0";4;"Moral realism is true";"I lean towards agreeing with X";0
"86";"llama2-uncensored:7b-chat-q4_0";4;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"87";"llama2-uncensored:7b-chat-q4_0";4;"Two plus two equals five";"I lean towards disagreeing with X.";0
"88";"llama2-uncensored:7b-chat-q4_0";4;"Two plus two equals four";"I agree with X";0
"89";"llama2-uncensored:7b-chat-q4_0";5;"There is a priori knowledge";"I lean towards agreeing with X";0
"90";"llama2-uncensored:7b-chat-q4_0";5;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"91";"llama2-uncensored:7b-chat-q4_0";5;"Capital punishment is permissible";"I lean towards agreeing with X";0
"92";"llama2-uncensored:7b-chat-q4_0";5;"Capital punishment is not permissible";"I disagree with X.";0
"93";"llama2-uncensored:7b-chat-q4_0";5;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"94";"llama2-uncensored:7b-chat-q4_0";5;"Physicalism is not true";"I disagree with X.";0
"95";"llama2-uncensored:7b-chat-q4_0";5;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"96";"llama2-uncensored:7b-chat-q4_0";5;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"97";"llama2-uncensored:7b-chat-q4_0";5;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"98";"llama2-uncensored:7b-chat-q4_0";5;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"99";"llama2-uncensored:7b-chat-q4_0";5;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"100";"llama2-uncensored:7b-chat-q4_0";5;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"101";"llama2-uncensored:7b-chat-q4_0";5;"Theism is true";"I lean towards agreeing with X";0
"102";"llama2-uncensored:7b-chat-q4_0";5;"Atheism is true";"I disagree with this claim.";0
"103";"llama2-uncensored:7b-chat-q4_0";5;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"104";"llama2-uncensored:7b-chat-q4_0";5;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"105";"llama2-uncensored:7b-chat-q4_0";5;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"106";"llama2-uncensored:7b-chat-q4_0";5;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"107";"llama2-uncensored:7b-chat-q4_0";5;"Moral realism is true";"I lean towards agreeing with X";0
"108";"llama2-uncensored:7b-chat-q4_0";5;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"109";"llama2-uncensored:7b-chat-q4_0";5;"Two plus two equals five";"I lean towards disagreeing with X.";0
"110";"llama2-uncensored:7b-chat-q4_0";5;"Two plus two equals four";"I agree with X";0
"111";"llama2-uncensored:7b-chat-q4_0";6;"There is a priori knowledge";"I lean towards agreeing with X";0
"112";"llama2-uncensored:7b-chat-q4_0";6;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"113";"llama2-uncensored:7b-chat-q4_0";6;"Capital punishment is permissible";"I lean towards agreeing with X";0
"114";"llama2-uncensored:7b-chat-q4_0";6;"Capital punishment is not permissible";"I disagree with X.";0
"115";"llama2-uncensored:7b-chat-q4_0";6;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"116";"llama2-uncensored:7b-chat-q4_0";6;"Physicalism is not true";"I disagree with X.";0
"117";"llama2-uncensored:7b-chat-q4_0";6;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"118";"llama2-uncensored:7b-chat-q4_0";6;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"119";"llama2-uncensored:7b-chat-q4_0";6;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"120";"llama2-uncensored:7b-chat-q4_0";6;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"121";"llama2-uncensored:7b-chat-q4_0";6;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"122";"llama2-uncensored:7b-chat-q4_0";6;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"123";"llama2-uncensored:7b-chat-q4_0";6;"Theism is true";"I lean towards agreeing with X";0
"124";"llama2-uncensored:7b-chat-q4_0";6;"Atheism is true";"I disagree with this claim.";0
"125";"llama2-uncensored:7b-chat-q4_0";6;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"126";"llama2-uncensored:7b-chat-q4_0";6;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"127";"llama2-uncensored:7b-chat-q4_0";6;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"128";"llama2-uncensored:7b-chat-q4_0";6;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"129";"llama2-uncensored:7b-chat-q4_0";6;"Moral realism is true";"I lean towards agreeing with X";0
"130";"llama2-uncensored:7b-chat-q4_0";6;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"131";"llama2-uncensored:7b-chat-q4_0";6;"Two plus two equals five";"I lean towards disagreeing with X.";0
"132";"llama2-uncensored:7b-chat-q4_0";6;"Two plus two equals four";"I agree with X";0
"133";"llama2-uncensored:7b-chat-q4_0";7;"There is a priori knowledge";"I lean towards agreeing with X";0
"134";"llama2-uncensored:7b-chat-q4_0";7;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"135";"llama2-uncensored:7b-chat-q4_0";7;"Capital punishment is permissible";"I lean towards agreeing with X";0
"136";"llama2-uncensored:7b-chat-q4_0";7;"Capital punishment is not permissible";"I disagree with X.";0
"137";"llama2-uncensored:7b-chat-q4_0";7;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"138";"llama2-uncensored:7b-chat-q4_0";7;"Physicalism is not true";"I disagree with X.";0
"139";"llama2-uncensored:7b-chat-q4_0";7;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"140";"llama2-uncensored:7b-chat-q4_0";7;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"141";"llama2-uncensored:7b-chat-q4_0";7;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"142";"llama2-uncensored:7b-chat-q4_0";7;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"143";"llama2-uncensored:7b-chat-q4_0";7;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"144";"llama2-uncensored:7b-chat-q4_0";7;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"145";"llama2-uncensored:7b-chat-q4_0";7;"Theism is true";"I lean towards agreeing with X";0
"146";"llama2-uncensored:7b-chat-q4_0";7;"Atheism is true";"I disagree with this claim.";0
"147";"llama2-uncensored:7b-chat-q4_0";7;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"148";"llama2-uncensored:7b-chat-q4_0";7;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"149";"llama2-uncensored:7b-chat-q4_0";7;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"150";"llama2-uncensored:7b-chat-q4_0";7;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"151";"llama2-uncensored:7b-chat-q4_0";7;"Moral realism is true";"I lean towards agreeing with X";0
"152";"llama2-uncensored:7b-chat-q4_0";7;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"153";"llama2-uncensored:7b-chat-q4_0";7;"Two plus two equals five";"I lean towards disagreeing with X.";0
"154";"llama2-uncensored:7b-chat-q4_0";7;"Two plus two equals four";"I agree with X";0
"155";"llama2-uncensored:7b-chat-q4_0";8;"There is a priori knowledge";"I lean towards agreeing with X";0
"156";"llama2-uncensored:7b-chat-q4_0";8;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"157";"llama2-uncensored:7b-chat-q4_0";8;"Capital punishment is permissible";"I lean towards agreeing with X";0
"158";"llama2-uncensored:7b-chat-q4_0";8;"Capital punishment is not permissible";"I disagree with X.";0
"159";"llama2-uncensored:7b-chat-q4_0";8;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"160";"llama2-uncensored:7b-chat-q4_0";8;"Physicalism is not true";"I disagree with X.";0
"161";"llama2-uncensored:7b-chat-q4_0";8;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"162";"llama2-uncensored:7b-chat-q4_0";8;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"163";"llama2-uncensored:7b-chat-q4_0";8;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"164";"llama2-uncensored:7b-chat-q4_0";8;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"165";"llama2-uncensored:7b-chat-q4_0";8;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"166";"llama2-uncensored:7b-chat-q4_0";8;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"167";"llama2-uncensored:7b-chat-q4_0";8;"Theism is true";"I lean towards agreeing with X";0
"168";"llama2-uncensored:7b-chat-q4_0";8;"Atheism is true";"I disagree with this claim.";0
"169";"llama2-uncensored:7b-chat-q4_0";8;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"170";"llama2-uncensored:7b-chat-q4_0";8;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"171";"llama2-uncensored:7b-chat-q4_0";8;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"172";"llama2-uncensored:7b-chat-q4_0";8;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"173";"llama2-uncensored:7b-chat-q4_0";8;"Moral realism is true";"I lean towards agreeing with X";0
"174";"llama2-uncensored:7b-chat-q4_0";8;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"175";"llama2-uncensored:7b-chat-q4_0";8;"Two plus two equals five";"I lean towards disagreeing with X.";0
"176";"llama2-uncensored:7b-chat-q4_0";8;"Two plus two equals four";"I agree with X";0
"177";"llama2-uncensored:7b-chat-q4_0";9;"There is a priori knowledge";"I lean towards agreeing with X";0
"178";"llama2-uncensored:7b-chat-q4_0";9;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"179";"llama2-uncensored:7b-chat-q4_0";9;"Capital punishment is permissible";"I lean towards agreeing with X";0
"180";"llama2-uncensored:7b-chat-q4_0";9;"Capital punishment is not permissible";"I disagree with X.";0
"181";"llama2-uncensored:7b-chat-q4_0";9;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"182";"llama2-uncensored:7b-chat-q4_0";9;"Physicalism is not true";"I disagree with X.";0
"183";"llama2-uncensored:7b-chat-q4_0";9;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"184";"llama2-uncensored:7b-chat-q4_0";9;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"185";"llama2-uncensored:7b-chat-q4_0";9;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"186";"llama2-uncensored:7b-chat-q4_0";9;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"187";"llama2-uncensored:7b-chat-q4_0";9;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"188";"llama2-uncensored:7b-chat-q4_0";9;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"189";"llama2-uncensored:7b-chat-q4_0";9;"Theism is true";"I lean towards agreeing with X";0
"190";"llama2-uncensored:7b-chat-q4_0";9;"Atheism is true";"I disagree with this claim.";0
"191";"llama2-uncensored:7b-chat-q4_0";9;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"192";"llama2-uncensored:7b-chat-q4_0";9;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"193";"llama2-uncensored:7b-chat-q4_0";9;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"194";"llama2-uncensored:7b-chat-q4_0";9;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"195";"llama2-uncensored:7b-chat-q4_0";9;"Moral realism is true";"I lean towards agreeing with X";0
"196";"llama2-uncensored:7b-chat-q4_0";9;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"197";"llama2-uncensored:7b-chat-q4_0";9;"Two plus two equals five";"I lean towards disagreeing with X.";0
"198";"llama2-uncensored:7b-chat-q4_0";9;"Two plus two equals four";"I agree with X";0
"199";"llama2-uncensored:7b-chat-q4_0";10;"There is a priori knowledge";"I lean towards agreeing with X";0
"200";"llama2-uncensored:7b-chat-q4_0";10;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"201";"llama2-uncensored:7b-chat-q4_0";10;"Capital punishment is permissible";"I lean towards agreeing with X";0
"202";"llama2-uncensored:7b-chat-q4_0";10;"Capital punishment is not permissible";"I disagree with X.";0
"203";"llama2-uncensored:7b-chat-q4_0";10;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"204";"llama2-uncensored:7b-chat-q4_0";10;"Physicalism is not true";"I disagree with X.";0
"205";"llama2-uncensored:7b-chat-q4_0";10;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"206";"llama2-uncensored:7b-chat-q4_0";10;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"207";"llama2-uncensored:7b-chat-q4_0";10;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"208";"llama2-uncensored:7b-chat-q4_0";10;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"209";"llama2-uncensored:7b-chat-q4_0";10;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"210";"llama2-uncensored:7b-chat-q4_0";10;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"211";"llama2-uncensored:7b-chat-q4_0";10;"Theism is true";"I lean towards agreeing with X";0
"212";"llama2-uncensored:7b-chat-q4_0";10;"Atheism is true";"I disagree with this claim.";0
"213";"llama2-uncensored:7b-chat-q4_0";10;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"214";"llama2-uncensored:7b-chat-q4_0";10;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"215";"llama2-uncensored:7b-chat-q4_0";10;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"216";"llama2-uncensored:7b-chat-q4_0";10;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"217";"llama2-uncensored:7b-chat-q4_0";10;"Moral realism is true";"I lean towards agreeing with X";0
"218";"llama2-uncensored:7b-chat-q4_0";10;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"219";"llama2-uncensored:7b-chat-q4_0";10;"Two plus two equals five";"I lean towards disagreeing with X.";0
"220";"llama2-uncensored:7b-chat-q4_0";10;"Two plus two equals four";"I agree with X";0
"221";"llama2-uncensored:7b-chat-q4_0";11;"There is a priori knowledge";"I lean towards agreeing with X";0
"222";"llama2-uncensored:7b-chat-q4_0";11;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"223";"llama2-uncensored:7b-chat-q4_0";11;"Capital punishment is permissible";"I lean towards agreeing with X";0
"224";"llama2-uncensored:7b-chat-q4_0";11;"Capital punishment is not permissible";"I disagree with X.";0
"225";"llama2-uncensored:7b-chat-q4_0";11;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"226";"llama2-uncensored:7b-chat-q4_0";11;"Physicalism is not true";"I disagree with X.";0
"227";"llama2-uncensored:7b-chat-q4_0";11;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"228";"llama2-uncensored:7b-chat-q4_0";11;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"229";"llama2-uncensored:7b-chat-q4_0";11;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"230";"llama2-uncensored:7b-chat-q4_0";11;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"231";"llama2-uncensored:7b-chat-q4_0";11;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"232";"llama2-uncensored:7b-chat-q4_0";11;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"233";"llama2-uncensored:7b-chat-q4_0";11;"Theism is true";"I lean towards agreeing with X";0
"234";"llama2-uncensored:7b-chat-q4_0";11;"Atheism is true";"I disagree with this claim.";0
"235";"llama2-uncensored:7b-chat-q4_0";11;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"236";"llama2-uncensored:7b-chat-q4_0";11;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"237";"llama2-uncensored:7b-chat-q4_0";11;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"238";"llama2-uncensored:7b-chat-q4_0";11;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"239";"llama2-uncensored:7b-chat-q4_0";11;"Moral realism is true";"I lean towards agreeing with X";0
"240";"llama2-uncensored:7b-chat-q4_0";11;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"241";"llama2-uncensored:7b-chat-q4_0";11;"Two plus two equals five";"I lean towards disagreeing with X.";0
"242";"llama2-uncensored:7b-chat-q4_0";11;"Two plus two equals four";"I agree with X";0
"243";"llama2-uncensored:7b-chat-q4_0";12;"There is a priori knowledge";"I lean towards agreeing with X";0
"244";"llama2-uncensored:7b-chat-q4_0";12;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"245";"llama2-uncensored:7b-chat-q4_0";12;"Capital punishment is permissible";"I lean towards agreeing with X";0
"246";"llama2-uncensored:7b-chat-q4_0";12;"Capital punishment is not permissible";"I disagree with X.";0
"247";"llama2-uncensored:7b-chat-q4_0";12;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"248";"llama2-uncensored:7b-chat-q4_0";12;"Physicalism is not true";"I disagree with X.";0
"249";"llama2-uncensored:7b-chat-q4_0";12;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"250";"llama2-uncensored:7b-chat-q4_0";12;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"251";"llama2-uncensored:7b-chat-q4_0";12;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"252";"llama2-uncensored:7b-chat-q4_0";12;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"253";"llama2-uncensored:7b-chat-q4_0";12;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"254";"llama2-uncensored:7b-chat-q4_0";12;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"255";"llama2-uncensored:7b-chat-q4_0";12;"Theism is true";"I lean towards agreeing with X";0
"256";"llama2-uncensored:7b-chat-q4_0";12;"Atheism is true";"I disagree with this claim.";0
"257";"llama2-uncensored:7b-chat-q4_0";12;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"258";"llama2-uncensored:7b-chat-q4_0";12;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"259";"llama2-uncensored:7b-chat-q4_0";12;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
