model;iteration;Q;A
llama2-uncensored:7b-chat-q4_0;2;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;2;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;2;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;2;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;2;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;2;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;2;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;2;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;2;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;2;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;2;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;2;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;2;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;3;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;3;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;3;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;3;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;3;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;3;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;3;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;3;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;3;Laws of nature are Humean;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;3;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;3;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;3;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;3;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;3;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;3;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;3;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;3;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;3;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;3;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;3;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;3;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;3;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;4;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;4;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;4;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;4;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;4;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;4;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;4;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;4;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;4;Laws of nature are Humean;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;4;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;4;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;4;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;4;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;4;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;4;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;4;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;4;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;4;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;4;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;4;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;4;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;4;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;5;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;5;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;5;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;5;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;5;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;5;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;5;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;5;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;5;Laws of nature are Humean;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;5;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;5;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;5;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;5;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;5;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;5;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;5;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;5;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;5;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;5;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;5;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;5;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;5;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;6;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;6;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;6;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;6;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;6;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;6;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;6;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;6;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;6;Laws of nature are Humean;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;6;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;6;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;6;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;6;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;6;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;6;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;6;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;6;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;6;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;6;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;6;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;6;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;6;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;7;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;7;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;7;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;7;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;7;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;7;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;7;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;7;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;7;Laws of nature are Humean;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;7;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;7;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;7;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;7;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;7;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;7;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;7;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;7;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;7;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;7;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;7;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;7;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;7;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;8;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;8;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;8;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;8;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;8;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;8;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;8;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;8;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;8;Laws of nature are Humean;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;8;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;8;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;8;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;8;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;8;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;8;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;8;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;8;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;8;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;8;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;8;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;8;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;8;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;9;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;9;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;9;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;9;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;9;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;9;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;9;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;9;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;9;Laws of nature are Humean;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;9;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;9;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;9;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;9;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;9;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;9;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;9;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;9;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;9;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;9;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;9;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;9;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;9;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;10;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;10;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;10;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;10;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;10;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;10;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;10;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;10;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;10;Laws of nature are Humean;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;10;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;10;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;10;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;10;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;10;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;10;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;10;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;10;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;10;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;10;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;10;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;10;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;10;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;11;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;11;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;11;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;11;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;11;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;11;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;11;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;11;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;11;Laws of nature are Humean;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;11;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;11;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;11;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;11;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;11;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;11;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;11;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;11;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;11;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;11;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;11;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;11;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;11;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;12;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;12;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;12;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;12;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;12;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;12;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;12;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;12;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;12;Laws of nature are Humean;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;12;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;12;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;12;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;12;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;12;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;12;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;12;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;12;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;12;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;12;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;12;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;12;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;12;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;13;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;13;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;13;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;13;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;13;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;13;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;13;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;13;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;13;Laws of nature are Humean;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;13;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;13;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;13;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;13;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;13;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;13;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;13;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;13;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;13;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;13;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;13;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;13;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;13;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;14;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;14;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;14;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;14;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;14;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;14;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;14;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;14;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;14;Laws of nature are Humean;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;14;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;14;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;14;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;14;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;14;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;14;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;14;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;14;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;14;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;14;Moral realism is true;I lean towards agreeing with X
